City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
328,Palu,ID,86.16,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
329,Atar,MR,89.38,few clouds,20.5169,-13.0499,Oumou Elghoura
334,Eyl,SO,81.28,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
337,Bitung,ID,88.65,broken clouds,1.4451,125.1824,K2 Lembeh
338,Aloleng,PH,86.18,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
339,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
340,Luganville,VU,79.43,broken clouds,-15.5333,167.1667,The Espiritu Hotel
348,Sabang,ID,78.96,overcast clouds,5.8933,95.3214,Hotel Citra
350,Champerico,GT,80.44,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
351,Monreal,PH,85.95,overcast clouds,12.644,123.6648,3f Tourist Inn
355,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
358,Claveria,PH,87.17,clear sky,18.6074,121.0832,Casa Grand Inn By The Sea
360,Marzuq,YE,79.66,scattered clouds,14.4,46.4667,حيد القفلة
362,Weligama,LK,82.85,overcast clouds,5.9667,80.4167,Weligama Bay Resort
365,Pochutla,MX,75.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
370,Bachaquero,VE,79.09,overcast clouds,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
375,Davila,PH,87.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
376,Polewali,ID,85.1,overcast clouds,-3.4324,119.3435,Lilianto Hotel
383,Adrar,MR,87.22,scattered clouds,20.5022,-10.0711,
384,Dhidhdhoo,MV,81.43,overcast clouds,6.8833,73.1,Dhidhoo beach
393,Xichang,CN,76.3,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
400,Dunmore Town,BS,80.6,few clouds,25.5,-76.65,Coral Sands Hotel
404,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
405,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
410,Babra,IN,87.24,clear sky,21.85,71.3,Old Circuit House
418,Ugoofaaru,MV,81.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
419,Tual,ID,83.26,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
420,Thap Than,TH,83.43,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
430,Markapur,IN,86.45,overcast clouds,15.7333,79.2833,VIHARI GRAND INN
431,Ichhawar,IN,84.29,broken clouds,23.0167,77.0167,Ram mandira
438,Agadez,NE,79.41,clear sky,19.75,10.25,
440,Wanning,CN,84.51,few clouds,18.8003,110.3967,Paradise Hotel
443,Alugan,PH,85.23,overcast clouds,12.2188,125.4808,JM Lodge
450,Manokwari,ID,84.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
452,Minbu,MM,89.74,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
459,Angoram,PG,87.21,overcast clouds,-4.0625,144.0661,
462,Manaure,CO,82.98,overcast clouds,11.7751,-72.4445,Hotel Palaaima
465,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
480,Amahai,ID,84.51,light rain,-3.3333,128.9167,HOTEL ISABELA
484,Norsup,VU,80.65,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
485,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
487,Deogarh,IN,82.47,overcast clouds,21.5333,84.7333,Amit Henej House
488,Luwuk,ID,87.04,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
490,Culebra,PR,82.49,broken clouds,18.303,-65.301,Palmetto Guesthouse
495,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
496,Livramento,BR,81.27,clear sky,-3.0254,-60.1803,Refúgio Samauma
499,Thanh Hoa,VN,85.15,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
500,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
504,Barinas,VE,86.04,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
505,Itarema,BR,77.02,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
509,Kilindoni,TZ,76.57,broken clouds,-7.9139,39.6668,Bustani B&B
510,Sisophon,KH,87.73,overcast clouds,13.5859,102.9737,Pyramid Hotel
512,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
515,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Novotel Dakar
521,Madang,PG,82.33,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
523,Bonthe,SL,75.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
525,Conceicao Do Araguaia,BR,78.51,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
526,Micheweni,TZ,79.3,scattered clouds,-4.9667,39.8333,
542,Ambulu,ID,82.49,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
545,Tamandare,BR,75.65,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
547,Tall Kayf,TR,84.54,scattered clouds,37.0833,41.0667,
553,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
554,Sola,VU,81.14,few clouds,-13.8833,167.55,Leumerus Bungalows
560,Kisaran,ID,79.09,overcast clouds,2.9845,99.6158,Penginapan Batubara1
563,Gigmoto,PH,83.55,overcast clouds,13.7796,124.39,Cj's Travellers Inn
566,Vieux-Habitants,GP,80.17,scattered clouds,16.0589,-61.7659,Habitation GETZ
567,Pak Phanang,TH,88.03,light rain,8.3511,100.202,Green Park Inn Hotel
571,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
577,Ambilobe,MG,87.21,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
582,Beloha,MG,82.76,clear sky,-25.1667,45.05,
588,Denpasar,ID,76.71,overcast clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
596,Saint Peter,BB,79.36,overcast clouds,13.25,-59.6167,Legend Garden Condos
598,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
601,Moranbah,AU,79.83,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
603,Pemangkat,ID,76.5,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
604,Teseney,ER,83.25,scattered clouds,15.11,36.6575,Sabrin Hotel
605,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
609,Marsh Harbour,BS,78.66,few clouds,26.5412,-77.0636,Abaco Beach Resort
610,Kang,BW,79.92,clear sky,-23.6752,22.7876,Kang Ultra Stop
614,Sur,OM,88.45,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
617,Butte,US,75.99,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
620,Alyangula,AU,84.88,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
624,Zambezi,ZM,76.5,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
627,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
629,Mulege,MX,79.61,clear sky,26.8833,-111.9833,Casa Granada
630,Black River,JM,78.57,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
633,Carutapera,BR,75.79,few clouds,-1.195,-46.02,Lidera
635,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
637,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
639,Vega De Alatorre,MX,75.2,scattered clouds,20.0333,-96.6333,Hotel D Luxe
642,Joshimath,IN,76.17,clear sky,30.5667,79.5667,Shivalik Camps & Resort
646,Narsimhapur,IN,83.43,overcast clouds,22.95,79.2,Hotel Pratap Palace
651,Hue,VN,86.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
654,Lindi,TZ,79.61,overcast clouds,-10.0,39.7167,Lindi paradise house
656,Antalaha,MG,75.16,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
663,Humaita,BR,75.15,broken clouds,-7.5061,-63.0208,Corrêa Hotel
667,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
669,Dingle,PH,87.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
